algorithm,type,size,time_us,comparisons
StringMergeSort,reverse,800,1100.2,2759
MSBRadixSort,reverse,800,435.5,0
MSBRadixHybrid,reverse,800,707.3,2128
StdQuickSort,almost,800,1140.3,64601
StdMergeSort,almost,800,935.6,6779
TernaryQuickSort,almost,800,1431.1,6363
StringMergeSort,almost,800,1103.8,2800
MSBRadixSort,almost,800,419.2,0
MSBRadixHybrid,almost,800,762.1,2143
StdQuickSort,random,900,1880.4,76951
StdMergeSort,random,900,1260.5,10169
TernaryQuickSort,random,900,2195.5,9485
StringMergeSort,random,900,1662.5,6959
MSBRadixSort,random,900,497.3,0
MSBRadixHybrid,random,900,986.4,3139
StdQuickSort,reverse,900,1179,63200
StdMergeSort,reverse,900,1187.4,6530
TernaryQuickSort,reverse,900,1707,7234
StringMergeSort,reverse,900,1286.5,3051
MSBRadixSort,reverse,900,509.3,0
MSBRadixHybrid,reverse,900,1257.7,2493
StdQuickSort,almost,900,1410.2,64744
StdMergeSort,almost,900,1168.2,7806
TernaryQuickSort,almost,900,1626.5,7278
StringMergeSort,almost,900,1271.4,3157
MSBRadixSort,almost,900,470,0
MSBRadixHybrid,almost,900,817.4,2520
StdQuickSort,random,1000,2110.7,84975
StdMergeSort,random,1000,1514.1,11635
TernaryQuickSort,random,1000,2687.3,10479
StringMergeSort,random,1000,1576.8,7945
MSBRadixSort,random,1000,552.2,0
MSBRadixHybrid,random,1000,1133.6,3689
StdQuickSort,reverse,1000,1303.2,64824
StdMergeSort,reverse,1000,1157.2,7233
TernaryQuickSort,reverse,1000,1976.5,8164
StringMergeSort,reverse,1000,1394.5,3359
MSBRadixSort,reverse,1000,536,0
MSBRadixHybrid,reverse,1000,962.2,2890
StdQuickSort,almost,1000,1356.1,69274
StdMergeSort,almost,1000,1156,8628
TernaryQuickSort,almost,1000,1828.3,8212
StringMergeSort,almost,1000,1361.5,3566
MSBRadixSort,almost,1000,548.2,0
MSBRadixHybrid,almost,1000,935.4,2927
StdQuickSort,random,1100,2883.1,96220
StdMergeSort,random,1100,1409.8,13126
TernaryQuickSort,random,1100,2690,11425
StringMergeSort,random,1100,1851,8823
MSBRadixSort,random,1100,760.4,0
MSBRadixHybrid,random,1100,1343,4197
StdQuickSort,reverse,1100,1509.1,75500
StdMergeSort,reverse,1100,1382.2,8308
TernaryQuickSort,reverse,1100,2011.5,9074
StringMergeSort,reverse,1100,1585.6,3817
MSBRadixSort,reverse,1100,616.6,0
MSBRadixHybrid,reverse,1100,1078,3284
StdQuickSort,almost,1100,1511.6,76086
StdMergeSort,almost,1100,1420.7,9380
TernaryQuickSort,almost,1100,2725.4,9187
StringMergeSort,almost,1100,2020.8,3882
MSBRadixSort,almost,1100,707.9,0
MSBRadixHybrid,almost,1100,1082.1,3350
StdQuickSort,random,1200,2970.6,107062
StdMergeSort,random,1200,2096.2,14558
